id,user_name,user_address,user_city,user_phone,process_status,date_created
111,sylvias,28 lenox ave,ew york cit,212-996-0660,processed,2015-12-01 14:18:31
112,szechuan hunan cottage,588 york ave,ew york cit,212-535-5223,processed,2021-12-06 09:22:15
113,szechuan kitchen,460 first ave,ew york cit,212-249-4615,processed,2021-01-10 23:59:22
114,teresas,0 montague st,ee,718-520-2910,processed,2022-01-09 08:17:18
115,thai house cafe,51 hudson st,ew york cit,212-334-1085,processed,2018-07-21 20:19:12
116,thailand restaurant,06 bayard st,ew york cit,212-349-3132,processed,2023-02-17 22:30:30
117,eselk,44 second ave,ew york cit,212-228-9682,processed,2019-01-20 21:52:01
118,westside cottage,89 ninth ave,ew york cit,212-245-0800,processed,2020-10-29 03:44:33
119,windows on the world,07th fl,ew york cit,212-524-7000,processed,2024-01-20 15:09:55
120,wollenskys grill,05 e. 49th st,ew york cit,212-753-0444,processed,2019-09-04 00:59:41
121,am,22 e. 17th st,ew york cit,212-475-0969,processed,2021-02-27 00:04:36
122,arel,53 second ave,ew york cit,212-644-6740,processed,2019-06-11 20:29:22
123,andres french restaurant,01 s. 6th st,as vega,702-385-5016,processed,2015-07-11 05:05:07
124,buccaneer bay club,300 las vegas blvd. s,as vega,702-894-7350,processed,2023-12-27 14:25:06
125,buzios in the rio,700 w. flamingo rd,as vega,702-252-7697,processed,2022-07-27 03:24:21
126,emerils new orleans fish house,799 las vegas blvd. s,as vega,702-891-7374,processed,2019-05-09 23:45:33
127,fiore rotisserie & grille,700 w. flamingo rd,as vega,702-252-7702,processed,2015-10-20 03:46:26
128,hugos cellar,02 e. fremont st,as vega,702-385-4011,processed,2017-08-02 06:31:27
129,madame chings,300 las vegas blvd. s,as vega,702-894-7111,processed,2016-01-16 12:47:58
130,mayflower cuisinier,750 w. sahara ave,as vega,702-870-8432,processed,2018-08-27 20:27:58
131,michaels (las vegas),595 las vegas blvd. s,as vega,702-737-7111,processed,2021-01-19 05:44:23
132,monte carlo,145 las vegas blvd. s,as vega,702-733-4524,processed,2016-10-13 14:12:42
133,oongat,400 las vegas blvd. s,as vega,702-791-7352,processed,2016-10-23 20:51:39
134,mortons of chicago (las vegas),200 las vegas blvd. s,as vega,702-893-0703,processed,2015-06-19 19:09:58
135,nicky blairs,925 paradise rd,as vega,702-792-9900,processed,2021-04-28 13:59:35
136,pieros restaurant,55 convention center dr,as vega,702-369-2305,processed,2022-07-08 22:00:49
137,spago (las vegas),500 las vegas blvd. s,as vega,702-369-6300,processed,2023-07-03 06:11:32
138,steakhouse  the,28 e. fremont st,as vega,702-382-1600,processed,2020-09-25 13:56:37
139,stefanos,29 fremont st,as vega,702-385-7111,processed,2018-02-26 19:30:48
140,sterling brunch,645 las vegas blvd. s,as vega,702-739-4651,processed,2016-10-23 20:05:20
141,tre visi,799 las vegas blvd. s,as vega,702-891-7331,processed,2017-02-08 01:35:44
142,103 west,03 w. paces ferry rd,lan,404-233-5993,processed,2019-02-24 17:03:41
143,alons at the terrace,59 peachtree st,lan,404-724-0444,processed,2017-07-17 12:48:59
144,bakers cajun cafe,134 euclid ave,lan,404-223-5039,processed,2019-03-24 03:00:43
145,barbecue kitchen,437 virginia ave,lan,404-766-9906,processed,2023-03-10 14:07:00
146,bistro  the,6 e. andrews dr. n,lan,404-231-5733,processed,2019-06-18 00:03:50
147,bobby & junes kountry kitchen,75 14th st,lan,404-876-3872,processed,2018-04-08 00:38:15
148,bradshaws restaurant,911 s. pharr cour,lan,404-261-7015,processed,2021-10-25 17:11:23
149,brookhaven cafe,274 peachtree rd,lan,404-231-5907,processed,2019-01-30 15:57:56
150,cafe sunflower,975 roswell rd,lan,404-256-1675,processed,2022-04-30 01:45:50
151,ano,199 paces ferry rd,lan,770-432-2663,processed,2024-04-11 17:16:57
152,careys,021 cobb pkwy. s,riet,770-422-8042,processed,2018-11-19 01:28:10
153,careys corner,215 powers ferry rd,riet,770-933-0909,processed,2017-12-12 17:21:46
154,hop,0 w. paces ferry rd,lan,404-262-2675,processed,2018-11-04 06:54:21
155,hopsti,279 roswell rd,lan,404-255-4868,processed,2016-08-16 14:09:37
156,deacon burtons soulfood restaurant,029 edgewood ave. s,lan,404-523-1929,processed,2020-08-29 10:58:40
157,at,00 ponce de leon ave,lan,404-888-9149,processed,2022-05-12 06:59:01
158,flying biscuit  the,655 mclendon ave,lan,404-687-8888,processed,2020-08-14 06:58:08
159,rijolero,031 peachtree st. n,lan,404-892-8226,processed,2018-10-27 00:00:32
160,greenwoods,087 green st,swe,770-992-5383,processed,2015-01-18 03:39:50
161,harolds barbecue,71 mcdonough blvd,lan,404-627-9268,processed,2015-06-29 21:02:29
162,havana sandwich shop,905 buford hwy,lan,404-636-4094,processed,2016-04-22 12:18:24
163,house of chan,469 cobb pkwy,yr,770-955-9444,processed,2022-05-01 06:42:35
164,indian delights,675 satellite blvd,lu,100-813-8212,processed,2023-08-02 11:51:18
165,java jive,90 ponce de leon ave,lan,404-876-6161,processed,2020-12-09 15:46:36
166,johnny rockets (at),970 cobb pkwy,lan,770-955-6068,processed,2020-06-08 19:42:12
167,kalos coffee house,248 clairmont rd,cat,404-325-3733,processed,2016-08-08 21:03:50
168,la fonda latina,427 roswell rd,lan,404-303-8201,processed,2015-09-29 10:49:32
169,lettuce souprise you (at),525 mall blvd,lu,770-418-9969,processed,2022-09-29 00:11:00
170,ajesti,031 ponce de leon ave,lan,404-875-0276,processed,2017-02-25 06:47:49
171,mortons of chicago (atlanta),03 peachtree st. n,lan,404-577-4366,processed,2020-04-11 15:23:26
172,my thai,248 clairmont rd,lan,404-636-4280,processed,2019-10-26 00:30:29
173,av,060 peachtree rd,lan,404-240-1984,processed,2022-03-22 11:28:22
174,nuevo laredo cantina,495 chattahoochee ave. n,lan,404-352-9009,processed,2016-06-09 04:59:35
175,original pancake house (at),330 peachtree rd,lan,404-237-4116,processed,2019-04-27 13:55:10
176,palm  the (atlanta),391 peachtree rd. n,lan,404-814-1955,processed,2019-09-11 10:39:35
177,rainbow restaurant,118 n. decatur rd,cat,404-633-3538,processed,2019-01-21 06:35:11
178,ivier,19 e. paces ferry rd,lan,404-262-7112,processed,2016-02-29 05:18:31
179,silver skillet  the,00 14th st. n,lan,404-874-1388,processed,2018-09-05 09:11:35
180,ot,330 piedmont rd,lan,404-233-2005,processed,2017-06-05 10:11:55
181,thelmas kitchen,64 marietta st. n,lan,404-688-5855,processed,2021-04-28 10:30:19
182,ortilla,74 ponce de leon ave. n,lan,404-892-0193,processed,2024-01-23 13:21:49
183,van goghs restaurant & bar,0 w. crossville rd,swe,770-993-1156,processed,2017-09-29 13:26:39
184,eggielan,20 sandy springs circl,lan,404-231-3111,processed,2022-10-16 17:19:28
185,white house restaurant,172 peachtree rd. n,lan,404-237-7601,processed,2021-05-23 07:41:19
186,ab-e-le,837 old national hwy,ollege par,404-768-2705,processed,2019-09-06 14:24:25
187,bills place,315 clement st,an francisc,415-221-5262,processed,2022-05-01 17:00:43
188,cafe flore,298 market st,an francisc,415-621-8579,processed,2015-02-01 22:04:15
189,caffe greco,23 columbus ave,an francisc,415-397-6261,processed,2017-07-06 01:13:32
190,campo santo,40 columbus ave,an francisc,415-433-9623,processed,2017-03-23 03:22:53
191,cha cha chas,805 haight st,an francisc,415-386-5758,processed,2016-04-07 22:06:24
192,doidges,217 union st,an francisc,415-921-2149,processed,2018-06-25 09:38:44
193,dotties true blue cafe,22 jones st,an francisc,415-885-2767,processed,2024-04-17 09:33:02
194,dusit thai,221 mission st,an francisc,415-826-4639,processed,2023-12-18 12:56:52
195,bis,283 ninth ave,an francisc,415-566-1770,processed,2015-09-20 13:57:50
196,emerald garden restaurant,550 california st,an francisc,415-673-1155,processed,2018-07-12 07:51:55
197,erics chinese restaurant,500 church st,an francisc,415-282-0919,processed,2021-01-21 22:16:29
198,hamburger marys,582 folsom st,an francisc,415-626-1985,processed,2018-06-06 00:13:11
199,kellys on trinity,33 bush st,an francisc,415-362-4454,processed,2023-07-12 09:21:12
200,la cumbre,15 valencia st,an francisc,415-863-8205,processed,2015-12-25 23:44:59
201,la mediterranee,88 noe st,an francisc,415-431-7210,processed,2023-05-01 08:25:49
202,la taqueria,889 mission st,an francisc,415-285-7117,processed,2022-04-29 16:54:37
203,marios bohemian cigar store cafe,209 polk st,an francisc,415-776-8226,processed,2018-03-04 11:15:03
204,marnee thai,225 irving st,an francisc,415-665-9500,processed,2020-08-12 04:07:42
205,mels drive-in,355 geary st,an francisc,415-387-2244,processed,2021-08-05 06:17:03
206,mos burgers,322 grant st,an francisc,415-788-3779,processed,2017-04-08 05:43:13
207,phnom penh cambodian restaurant,31 larkin st,an francisc,415-775-5979,processed,2022-10-13 10:25:35
208,roosevelt tamale parlor,817 24th st,an francisc,415-550-9213,processed,2017-01-05 05:38:41
209,sallys cafe & bakery,00 de haro st,an francisc,415-626-6006,processed,2024-04-08 22:11:37
210,san francisco bbq,328 18th st,an francisc,415-431-8956,processed,2016-03-13 19:55:21
211,slanted door,84 valencia st,an francisc,415-861-8032,processed,2016-03-24 20:44:20
212,swan oyster depot,517 polk st,an francisc,415-673-1101,processed,2019-11-19 06:58:21
213,thep phanom,00 waller st,an francisc,415-431-2526,processed,2023-10-11 10:21:43
214,ti couz,108 16th st,an francisc,415-252-7373,processed,2020-04-07 06:12:17
215,trio cafe,870 fillmore st,an francisc,415-563-2248,processed,2023-09-26 22:21:43
216,tu lan, sixth st,an francisc,415-626-0927,processed,2015-08-04 13:34:24
217,vicolo pizzeria,01 ivy st,an francisc,415-863-2382,processed,2020-08-10 19:26:53
218,wa-ha-ka oaxaca mexican grill,141 polk st,an francisc,415-775-1055,processed,2019-02-21 21:49:54
219,arnie mortons of chicago,35 s. la cienega blvd,os angele,310-246-1501,processed,2016-04-26 09:50:21
220,arts deli,2224 ventura blvd,tudio cit,818-762-1221,processed,2022-08-20 20:50:37
221,bel-air hotel,01 stone canyon rd,el ai,310-472-1211,processed,2022-09-16 04:27:26
222,cafe bizou,4016 ventura blvd,herman oak,818-788-3536,processed,2016-12-06 17:25:18
223,ampanil,24 s. la brea ave,os angele,213-938-1447,processed,2019-01-01 08:27:42
224,chinois on main,709 main st,anta monic,310-392-9025,processed,2015-04-28 05:30:31
225,itru,703 melrose ave,os angele,213-857-0034,processed,2018-03-13 15:11:38
226,fenix at the argyle,358 sunset blvd,. hollywoo,213-848-6677,processed,2015-10-09 07:57:55
227,ranit,3725 w. malibu rd,li,310-456-0488,processed,2023-12-06 14:15:10
228,grill  the,560 dayton wa,everly hill,310-276-0615,processed,2023-06-20 05:58:27
229,ats,972 hillhurst ave,os feli,213-665-1891,processed,2023-12-27 10:39:28
230,lorangerie,03 n. la cienega blvd,. hollywoo,310-652-9770,processed,2016-08-14 20:33:57
231,le chardonnay (los angeles),284 melrose ave,os angele,213-655-8880,processed,2019-04-14 14:43:51
232,locanda veneta,638 w. third st,os angele,310-274-1893,processed,2021-04-30 17:14:15
233,atsuhis,29 n. la cienega blvd,everly hill,310-659-9639,processed,2024-02-09 10:57:42
234,palm  the (los angeles),001 santa monica blvd,. hollywoo,310-550-8811,processed,2017-02-27 09:58:57
235,atin,955 melrose ave,os angele,213-467-1108,processed,2016-04-16 14:39:57
236,philippe the original,001 n. alameda st,inato,213-628-3781,processed,2023-05-18 04:55:46
237,pinot bistro,2969 ventura blvd,tudio cit,818-990-0500,processed,2016-02-21 14:51:01
238,rex il ristorante,17 s. olive st,os angele,213-627-2300,processed,2017-09-12 22:20:52
239,spago (los angeles),795 sunset blvd,. hollywoo,310-652-4025,processed,2019-08-09 16:04:27
240,alentin,115 pico blvd,anta monic,310-829-4313,processed,2023-12-24 23:19:17
241,yujean kangs,7 n. raymond ave,sade,818-585-0855,processed,2019-05-08 18:48:09
242,21 club,1 w. 52nd st,ew york cit,212-582-7200,processed,2022-09-15 15:04:47
243,quavi,3 w. 54th st,ew york cit,212-307-7311,processed,2017-07-20 15:59:03
244,ureol,4 e. 61st st,ew york cit,212-319-1660,processed,2019-08-10 14:00:04
245,cafe lalo,01 w. 83rd st,ew york cit,212-496-6031,processed,2019-08-23 17:52:26
246,cafe des artistes, w. 67th st,ew york cit,212-877-3500,processed,2023-08-12 19:41:45
247,carmines,450 broadwa,ew york cit,212-362-2200,processed,2018-03-25 19:28:28
248,carnegie deli,54 seventh ave,ew york cit,212-757-2245,processed,2015-10-19 19:58:48
249,hanterell, harrison st,ew york cit,212-966-6960,processed,2022-12-11 16:09:52
250,anie,0 e. 76th st,ew york cit,212-288-0033,processed,2021-04-17 13:31:35
251,awa,10 e. 58th st,ew york cit,212-355-7555,processed,2020-05-17 00:48:04
252,elidi,43 e. 58th st,ew york cit,212-758-1479,processed,2021-09-02 13:48:45
253,four seasons,9 e. 52nd st,ew york cit,212-754-9494,processed,2022-02-22 10:34:48
254,gotham bar & grill,2 e. 12th st,ew york cit,212-620-4020,processed,2023-08-09 19:28:24
255,gramercy tavern,2 e. 20th st,ew york cit,212-477-0777,processed,2019-08-31 08:17:19
256,island spice,02 w. 44th st,ew york cit,212-765-1737,processed,2021-11-15 16:24:45
257,jo jo,60 e. 64th st,ew york cit,212-223-5656,processed,2017-09-28 03:07:09
258,la caravelle,3 w. 55th st,ew york cit,212-586-4252,processed,2019-10-04 21:48:36
259,la cote basque,0 w. 55th st,ew york cit,212-688-6525,processed,2023-12-06 03:47:52
260,le bernardin,55 w. 51st st,ew york cit,212-489-1515,processed,2023-08-22 22:19:23
261,les celebrites,55 w. 58th st,ew york cit,212-484-5113,processed,2019-06-12 02:31:22
262,lespinasse (new york city), e. 55th st,ew york cit,212-339-6719,processed,2020-02-08 14:59:35
263,utec,49 e. 50th st,ew york cit,212-752-2225,processed,2024-02-01 10:40:41
264,manhattan ocean club,7 w. 58th st,ew york cit,212-371-7777,processed,2016-06-04 12:48:16
265,arc,05 e. 58th st,ew york cit,212-754-6272,processed,2017-05-31 23:51:58
266,mesa grill,02 fifth ave,ew york cit,212-807-7400,processed,2021-11-19 06:53:47
267,mi cocina,7 jane st,ew york cit,212-627-8273,processed,2015-11-10 05:21:10
268,ontrache,39 w. broadwa,ew york cit,212-219-2777,processed,2020-05-08 09:13:12
269,cean,5 e. 54th st,ew york cit,212-759-5941,processed,2016-01-02 09:22:43
270,park avenue cafe (new york city),00 e. 63rd st,ew york cit,212-644-1900,processed,2017-03-12 22:58:24
271,etrossia,82 w. 58th st,ew york cit,212-245-2214,processed,2020-04-03 02:05:44
272,icholin,5 w. 64th st,ew york cit,212-724-8585,processed,2023-03-01 17:25:47
273,isce,5 ave. ,ew york cit,212-260-6660,processed,2016-04-06 14:07:04
274,rainbow room,0 rockefeller plaz,ew york cit,212-632-5000,processed,2015-09-16 17:22:01
275,river cafe, water st,ookl,718-522-5200,processed,2022-03-28 14:17:44
276,san domenico,40 central park s,ew york cit,212-265-5959,processed,2019-05-21 05:46:11
277,second avenue deli,56 second ave,ew york cit,212-677-0606,processed,2019-04-11 11:49:50
278,eryn,1 e. 53rd st,ew york cit,212-980-9393,processed,2020-02-19 03:32:38
279,shun lee palace,55 e. 55th st,ew york cit,212-371-8844,processed,2017-08-12 04:48:03
280,sign of the dove,110 third ave,ew york cit,212-861-8080,processed,2022-03-23 19:04:07
281,smith & wollensky,97 third ave,ew york cit,212-753-1530,processed,2023-02-27 02:03:41
282,tavern on the green,entral park wes,ew york cit,212-873-3200,processed,2022-09-15 19:05:12
283,uncle nicks,47 ninth ave,ew york cit,212-245-7992,processed,2019-04-26 07:16:50
284,union square cafe,1 e. 16th st,ew york cit,212-243-4020,processed,2023-03-06 22:12:25
285,virgils real bbq,52 w. 44th st,ew york cit,212-921-9494,processed,2016-01-13 13:32:19
286,chins,200 las vegas blvd. s,as vega,702-733-8899,processed,2015-03-08 05:14:22
287,coyote cafe (las vegas),799 las vegas blvd. s,as vega,702-891-7349,processed,2015-09-26 17:47:03
288,le montrachet bistro,000 paradise rd,as vega,702-732-5651,processed,2015-08-24 00:01:26
289,palace court,570 las vegas blvd. s,as vega,702-731-7110,processed,2021-01-29 17:11:45
290,second street grill,00 e. fremont st,as vega,702-385-6277,processed,2022-08-18 05:52:13
291,steak house  the,880 las vegas blvd. s,as vega,702-734-0410,processed,2019-12-21 01:24:38
292,tillerman  the,245 e. flamingo rd,as vega,702-731-4036,processed,2022-08-01 16:09:04
293,bruzz,355 peachtree rd. n,lan,404-261-8186,processed,2016-11-15 03:18:37
294,acchanali,125 piedmont rd,lan,404-365-0410,processed,2019-02-06 05:46:47
295,bones restaurant,130 piedmont rd. n,lan,404-237-2663,processed,2023-04-13 17:02:12
296,brasserie le coze,393 peachtree rd,lan,404-266-1440,processed,2017-09-11 08:27:42
297,buckhead diner,073 piedmont rd,lan,404-262-3336,processed,2022-08-07 08:48:48
298,ciboulette restaurant,529 piedmont ave,lan,404-874-7600,processed,2020-03-07 10:44:15
299,electable, margaret mitchell sq,lan,404-681-2909,processed,2017-06-27 09:09:33
300,georgia grille,290 peachtree rd,lan,404-352-3517,processed,2019-01-17 03:18:34
301,hedgerose heights inn  the,90 e. paces ferry rd. n,lan,404-233-7673,processed,2023-05-05 14:12:47
302,heera of india,95 piedmont ave,lan,404-876-4408,processed,2017-03-23 19:36:32
303,indigo coastal grill,397 n. highland ave,lan,404-876-0676,processed,2024-03-31 05:19:47
304,la grotta,637 peachtree rd. n,lan,404-231-1368,processed,2023-11-05 18:05:53
305,mary macs tea room,24 ponce de leon ave,lan,404-876-1800,processed,2020-10-06 18:53:12
306,nikolais roof,55 courtland st,lan,404-221-6362,processed,2019-10-20 22:38:15
307,panos & pauls,232 w. paces ferry rd,lan,404-261-3662,processed,2022-10-21 04:29:02
308,ritz-carlton cafe (buckhead),434 peachtree rd. n,lan,404-237-2700,processed,2018-03-07 18:45:30
309,ritz-carlton dining room (buckhead),434 peachtree rd. n,lan,404-237-2700,processed,2023-08-17 21:34:34
